"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Slovenia (SI)","Generation - Solar  [MW] Intraday / Slovenia (SI)","Generation - Solar  [MW] Current / Slovenia (SI)"
"16.01.2022 10:00 - 16.01.2022 11:00","64","64","67"
"16.01.2022 11:00 - 16.01.2022 12:00","82","82","89"
"16.01.2022 12:00 - 16.01.2022 13:00","82","82","92"
"16.01.2022 13:00 - 16.01.2022 14:00","72","72","83"
"16.01.2022 14:00 - 16.01.2022 15:00","46","46","54"
"16.01.2022 15:00 - 16.01.2022 16:00","20","20","23"
"16.01.2022 16:00 - 16.01.2022 17:00","2","2","2"
"16.01.2022 17:00 - 16.01.2022 18:00","0","0","0"
"16.01.2022 18:00 - 16.01.2022 19:00","0","0","0"
"16.01.2022 19:00 - 16.01.2022 20:00","0","0","0"
"16.01.2022 20:00 - 16.01.2022 21:00","0","0","0"
"16.01.2022 21:00 - 16.01.2022 22:00","0","0","0"
"16.01.2022 22:00 - 16.01.2022 23:00","0","0","0"
"16.01.2022 23:00 - 17.01.2022 00:00","0","0","0"
"17.01.2022 00:00 - 17.01.2022 01:00","0","0","0"
"17.01.2022 01:00 - 17.01.2022 02:00","0","0","0"
"17.01.2022 02:00 - 17.01.2022 03:00","0","0","0"
"17.01.2022 03:00 - 17.01.2022 04:00","0","0","0"
"17.01.2022 04:00 - 17.01.2022 05:00","0","0","0"
"17.01.2022 05:00 - 17.01.2022 06:00","0","0","0"
"17.01.2022 06:00 - 17.01.2022 07:00","0","0","0"
"17.01.2022 07:00 - 17.01.2022 08:00","1","1","1"
"17.01.2022 08:00 - 17.01.2022 09:00","14","14","15"
"17.01.2022 09:00 - 17.01.2022 10:00","44","44","41"
"17.01.2022 10:00 - 17.01.2022 11:00","66","66","60"
"17.01.2022 11:00 - 17.01.2022 12:00","70","70","70"
"17.01.2022 12:00 - 17.01.2022 13:00","67","67","74"
"17.01.2022 13:00 - 17.01.2022 14:00","70","70","72"
"17.01.2022 14:00 - 17.01.2022 15:00","60","60","61"
"17.01.2022 15:00 - 17.01.2022 16:00","26","26","27"
"17.01.2022 16:00 - 17.01.2022 17:00","2","2","3"
"17.01.2022 17:00 - 17.01.2022 18:00","0","0","0"
"17.01.2022 18:00 - 17.01.2022 19:00","0","0","0"
"17.01.2022 19:00 - 17.01.2022 20:00","0","0","0"
"17.01.2022 20:00 - 17.01.2022 21:00","0","0","0"
"17.01.2022 21:00 - 17.01.2022 22:00","0","0","0"
"17.01.2022 22:00 - 17.01.2022 23:00","0","0","0"
"17.01.2022 23:00 - 18.01.2022 00:00","0","0","0"
"18.01.2022 00:00 - 18.01.2022 01:00","0","0","0"
"18.01.2022 01:00 - 18.01.2022 02:00","0","0","0"
"18.01.2022 02:00 - 18.01.2022 03:00","0","0","0"
"18.01.2022 03:00 - 18.01.2022 04:00","0","0","0"
"18.01.2022 04:00 - 18.01.2022 05:00","0","0","0"
"18.01.2022 05:00 - 18.01.2022 06:00","0","0","0"
"18.01.2022 06:00 - 18.01.2022 07:00","0","0","0"
"18.01.2022 07:00 - 18.01.2022 08:00","1","1","1"
"18.01.2022 08:00 - 18.01.2022 09:00","17","17","15"
"18.01.2022 09:00 - 18.01.2022 10:00","52","52","49"
"18.01.2022 10:00 - 18.01.2022 11:00","83","83","81"
"18.01.2022 11:00 - 18.01.2022 12:00","103","103","100"
"18.01.2022 12:00 - 18.01.2022 13:00","108","108","107"
"18.01.2022 13:00 - 18.01.2022 14:00","97","97","95"
"18.01.2022 14:00 - 18.01.2022 15:00","67","67","67"
"18.01.2022 15:00 - 18.01.2022 16:00","29","29","29"
"18.01.2022 16:00 - 18.01.2022 17:00","3","3","3"
