"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|HU","Without sequence","231.9","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|HU","Without sequence","226.0","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|HU","Without sequence","209.2","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|HU","Without sequence","216.06","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|HU","Without sequence","230.77","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|HU","Without sequence","245.95","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|HU","Without sequence","274.11","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|HU","Without sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|HU","Without sequence","252.54","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|HU","Without sequence","231.96","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|HU","Without sequence","213.07","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|HU","Without sequence","198.05","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|HU","Without sequence","143.48","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|HU","Without sequence","148.04","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|HU","Without sequence","134.78","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|HU","Without sequence","115.24","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|HU","Without sequence","115.24","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|HU","Without sequence","116.27","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|HU","Without sequence","131.03","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|HU","Without sequence","147.0","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|HU","Without sequence","215.6","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|HU","Without sequence","248.58","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|HU","Without sequence","192.23","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|HU","Without sequence","188.88","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|HU","Without sequence","189.18","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|HU","Without sequence","187.39","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|HU","Without sequence","181.69","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|HU","Without sequence","182.27","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|HU","Without sequence","199.58","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|HU","Without sequence","239.0","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|HU","Without sequence","266.86","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|HU","Without sequence","254.99","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|HU","Without sequence","240.97","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|HU","Without sequence","227.91","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|HU","Without sequence","213.81","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|HU","Without sequence","194.95","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|HU","Without sequence","165.09","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|HU","Without sequence","170.1","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|HU","Without sequence","156.1","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|HU","Without sequence","166.0","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|HU","Without sequence","161.08","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|HU","Without sequence","160.0","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|HU","Without sequence","154.3","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|HU","Without sequence","166.0","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|HU","Without sequence","182.91","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|HU","Without sequence","215.89","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|HU","Without sequence","231.0","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|HU","Without sequence","228.95","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|HU","Without sequence","215.39","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|HU","Without sequence","206.68","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|HU","Without sequence","185.0","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|HU","Without sequence","169.52","",""
