"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Intraday Period (CET/CEST)","Energy Price (EUR/MWh)"
"10/01/2022 06:00:00 - 10/01/2022 07:00:00","BZN|IT-North","Without sequence","237.44","",""
"10/01/2022 07:00:00 - 10/01/2022 08:00:00","BZN|IT-North","Without sequence","299.95","",""
"10/01/2022 08:00:00 - 10/01/2022 09:00:00","BZN|IT-North","Without sequence","313.92","",""
"10/01/2022 09:00:00 - 10/01/2022 10:00:00","BZN|IT-North","Without sequence","315.0","",""
"10/01/2022 10:00:00 - 10/01/2022 11:00:00","BZN|IT-North","Without sequence","310.41","",""
"10/01/2022 11:00:00 - 10/01/2022 12:00:00","BZN|IT-North","Without sequence","310.08","",""
"10/01/2022 12:00:00 - 10/01/2022 13:00:00","BZN|IT-North","Without sequence","300.0","",""
"10/01/2022 13:00:00 - 10/01/2022 14:00:00","BZN|IT-North","Without sequence","297.01","",""
"10/01/2022 14:00:00 - 10/01/2022 15:00:00","BZN|IT-North","Without sequence","299.96","",""
"10/01/2022 15:00:00 - 10/01/2022 16:00:00","BZN|IT-North","Without sequence","305.26","",""
"10/01/2022 16:00:00 - 10/01/2022 17:00:00","BZN|IT-North","Without sequence","297.97","",""
"10/01/2022 17:00:00 - 10/01/2022 18:00:00","BZN|IT-North","Without sequence","313.79","",""
"10/01/2022 18:00:00 - 10/01/2022 19:00:00","BZN|IT-North","Without sequence","310.82","",""
"10/01/2022 19:00:00 - 10/01/2022 20:00:00","BZN|IT-North","Without sequence","294.98","",""
"10/01/2022 20:00:00 - 10/01/2022 21:00:00","BZN|IT-North","Without sequence","267.45","",""
"10/01/2022 21:00:00 - 10/01/2022 22:00:00","BZN|IT-North","Without sequence","242.23","",""
"10/01/2022 22:00:00 - 10/01/2022 23:00:00","BZN|IT-North","Without sequence","217.03","",""
"10/01/2022 23:00:00 - 11/01/2022 00:00:00","BZN|IT-North","Without sequence","198.93","",""
"11/01/2022 00:00:00 - 11/01/2022 01:00:00","BZN|IT-North","Without sequence","210.34","",""
"11/01/2022 01:00:00 - 11/01/2022 02:00:00","BZN|IT-North","Without sequence","202.42","",""
"11/01/2022 02:00:00 - 11/01/2022 03:00:00","BZN|IT-North","Without sequence","197.6","",""
"11/01/2022 03:00:00 - 11/01/2022 04:00:00","BZN|IT-North","Without sequence","193.0","",""
"11/01/2022 04:00:00 - 11/01/2022 05:00:00","BZN|IT-North","Without sequence","194.9","",""
"11/01/2022 05:00:00 - 11/01/2022 06:00:00","BZN|IT-North","Without sequence","204.45","",""
"11/01/2022 06:00:00 - 11/01/2022 07:00:00","BZN|IT-North","Without sequence","230.92","",""
"11/01/2022 07:00:00 - 11/01/2022 08:00:00","BZN|IT-North","Without sequence","286.61","",""
"11/01/2022 08:00:00 - 11/01/2022 09:00:00","BZN|IT-North","Without sequence","300.02","",""
"11/01/2022 09:00:00 - 11/01/2022 10:00:00","BZN|IT-North","Without sequence","297.16","",""
"11/01/2022 10:00:00 - 11/01/2022 11:00:00","BZN|IT-North","Without sequence","277.02","",""
"11/01/2022 11:00:00 - 11/01/2022 12:00:00","BZN|IT-North","Without sequence","261.69","",""
"11/01/2022 12:00:00 - 11/01/2022 13:00:00","BZN|IT-North","Without sequence","248.64","",""
"11/01/2022 13:00:00 - 11/01/2022 14:00:00","BZN|IT-North","Without sequence","247.7","",""
"11/01/2022 14:00:00 - 11/01/2022 15:00:00","BZN|IT-North","Without sequence","255.01","",""
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|IT-North","Without sequence","277.9","",""
